epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,4863.78,0.4309,0.69535,0.27106,0.70573,0.65341,0.69375,0.39696,0.45863,0.63101,0.1428,0.0091882,0.0091882,0.0091882
43,4979.34,0.40381,0.69004,0.263,0.83644,0.60496,0.68093,0.40214,0.43857,0.64521,0.13714,0.0091684,0.0091684,0.0091684
44,5095.23,0.39336,0.72348,0.24895,0.61919,0.58453,0.58032,0.35387,0.44688,0.71734,0.14935,0.0091486,0.0091486,0.0091486
45,5211.23,0.41998,0.68502,0.26054,0.8109,0.58894,0.6587,0.43078,0.37875,0.65246,0.14319,0.0091288,0.0091288,0.0091288
46,5327.33,0.42835,0.67508,0.25866,0.63556,0.58096,0.59393,0.2964,0.5901,0.60792,0.16635,0.009109,0.009109,0.009109
47,5443.25,0.43916,0.69912,0.26366,0.71282,0.57187,0.6317,0.36112,0.44515,0.61679,0.14541,0.0090892,0.0090892,0.0090892
48,5559.53,0.48716,0.65416,0.27021,0.69715,0.60851,0.60286,0.26918,0.64178,0.57241,0.17454,0.0090694,0.0090694,0.0090694
49,5675.44,0.47468,0.69583,0.28204,0.66211,0.62174,0.607,0.31194,0.538,0.61901,0.16547,0.0090496,0.0090496,0.0090496
50,5791.31,0.4399,0.66972,0.26402,0.72563,0.63575,0.63676,0.37188,0.47146,0.60952,0.14743,0.0090298,0.0090298,0.0090298
51,5907.68,0.44155,0.67303,0.26618,0.68456,0.61908,0.63528,0.29148,0.59031,0.64444,0.17118,0.00901,0.00901,0.00901
52,6023.25,0.42697,0.69123,0.26197,0.71841,0.61622,0.66772,0.37776,0.46956,0.62713,0.14093,0.0089902,0.0089902,0.0089902
53,6138.75,0.4622,0.67383,0.27012,0.7695,0.63148,0.68041,0.34335,0.55217,0.57682,0.15463,0.0089704,0.0089704,0.0089704
54,6254.39,0.44558,0.67113,0.26988,0.77512,0.65495,0.6801,0.40163,0.46235,0.60868,0.13426,0.0089506,0.0089506,0.0089506
55,6369.77,0.43136,0.63251,0.25422,0.70076,0.61616,0.66443,0.40875,0.42911,0.63405,0.13793,0.0089308,0.0089308,0.0089308
56,6484.94,0.37826,0.66611,0.23728,0.73564,0.6892,0.67663,0.37886,0.49815,0.60973,0.15462,0.008911,0.008911,0.008911
57,6600.39,0.45077,0.67737,0.25625,0.70885,0.6892,0.68155,0.38521,0.46248,0.6191,0.14864,0.0088912,0.0088912,0.0088912
58,6715.88,0.39229,0.68027,0.23835,0.75157,0.64376,0.67543,0.4137,0.41805,0.5988,0.13895,0.0088714,0.0088714,0.0088714
59,6831.21,0.43679,0.69914,0.26046,0.75111,0.73759,0.74982,0.44443,0.41327,0.60332,0.13561,0.0088516,0.0088516,0.0088516
60,6947.24,0.40383,0.65448,0.253,0.81659,0.67494,0.72729,0.37582,0.52429,0.58917,0.15658,0.0088318,0.0088318,0.0088318
61,7063.22,0.44067,0.66364,0.25878,0.75524,0.53368,0.59022,0.35087,0.4589,0.65079,0.15278,0.008812,0.008812,0.008812
62,7178.93,0.41654,0.64373,0.25875,0.71832,0.68501,0.67821,0.44586,0.37591,0.63462,0.1334,0.0087922,0.0087922,0.0087922
63,7294.51,0.39946,0.64507,0.24262,0.80668,0.53094,0.59887,0.39628,0.42229,0.65415,0.1532,0.0087724,0.0087724,0.0087724
64,7410.56,0.42659,0.64543,0.2461,0.76192,0.64968,0.71819,0.43919,0.41122,0.59679,0.13765,0.0087526,0.0087526,0.0087526
65,7526.34,0.47022,0.62223,0.26745,0.68461,0.54362,0.54493,0.23535,0.67036,0.55097,0.18212,0.0087328,0.0087328,0.0087328
66,7642.1,0.43588,0.64929,0.2437,0.77529,0.71579,0.74553,0.41877,0.46352,0.55063,0.15229,0.008713,0.008713,0.008713
67,7757.64,0.4215,0.63785,0.24438,0.79444,0.72708,0.72805,0.42529,0.44867,0.5645,0.14205,0.0086932,0.0086932,0.0086932
68,7872.86,0.46562,0.66499,0.2774,0.73822,0.72108,0.73114,0.41985,0.4668,0.60944,0.1376,0.0086734,0.0086734,0.0086734
69,7989.12,0.41766,0.66139,0.25093,0.79498,0.6356,0.71116,0.37876,0.51346,0.59318,0.14531,0.0086536,0.0086536,0.0086536
70,8105.59,0.40512,0.65921,0.24014,0.80705,0.67239,0.72488,0.42426,0.4323,0.61061,0.13182,0.0086338,0.0086338,0.0086338
71,8221.45,0.45117,0.65596,0.26334,0.71127,0.68599,0.699,0.42006,0.41396,0.61266,0.12921,0.008614,0.008614,0.008614
72,8337.63,0.44382,0.64074,0.26282,0.76032,0.66693,0.70381,0.40266,0.46459,0.59513,0.14418,0.0085942,0.0085942,0.0085942
73,8454.71,0.39898,0.63296,0.24901,0.78175,0.68028,0.71826,0.44185,0.39714,0.6121,0.13272,0.0085744,0.0085744,0.0085744
74,8571.47,0.37863,0.63933,0.23777,0.74623,0.69352,0.71837,0.4299,0.4277,0.58894,0.13892,0.0085546,0.0085546,0.0085546
75,8688.18,0.41746,0.62663,0.24424,0.72762,0.64164,0.65838,0.31891,0.57325,0.55676,0.16063,0.0085348,0.0085348,0.0085348
76,8804.47,0.38504,0.6159,0.23638,0.78411,0.68975,0.69977,0.41184,0.42342,0.60928,0.13616,0.008515,0.008515,0.008515
77,8921.1,0.4063,0.62968,0.24385,0.76847,0.66058,0.71353,0.43849,0.41444,0.62144,0.13016,0.0084952,0.0084952,0.0084952
78,9036.4,0.3728,0.6272,0.23239,0.73824,0.71563,0.73355,0.38982,0.47628,0.64306,0.1469,0.0084754,0.0084754,0.0084754
79,9152.19,0.37754,0.60708,0.22919,0.77444,0.75298,0.76412,0.4635,0.3955,0.58947,0.13093,0.0084556,0.0084556,0.0084556
80,9268.03,0.39766,0.62911,0.22808,0.75732,0.66886,0.73739,0.40719,0.43541,0.59264,0.13231,0.0084358,0.0084358,0.0084358
81,9383.19,0.40807,0.62463,0.24792,0.72526,0.69616,0.73462,0.46728,0.37949,0.63798,0.1352,0.008416,0.008416,0.008416
82,9498.76,0.39192,0.62366,0.24223,0.70969,0.72879,0.74382,0.45277,0.38877,0.59968,0.13661,0.0083962,0.0083962,0.0083962
83,9614.08,0.38809,0.65407,0.2427,0.71842,0.74441,0.76902,0.4899,0.39026,0.56173,0.13455,0.0083764,0.0083764,0.0083764
84,9729.31,0.40779,0.60481,0.2466,0.76254,0.66771,0.73602,0.42339,0.4741,0.57338,0.14974,0.0083566,0.0083566,0.0083566
85,9845.24,0.3888,0.62509,0.2453,0.81248,0.68341,0.75958,0.46456,0.41681,0.56549,0.1346,0.0083368,0.0083368,0.0083368
86,9961.89,0.38033,0.60906,0.23541,0.78285,0.76613,0.76179,0.48011,0.37746,0.58259,0.12762,0.008317,0.008317,0.008317
87,10078.2,0.41898,0.59109,0.2477,0.83398,0.72229,0.76847,0.43016,0.49593,0.57651,0.14135,0.0082972,0.0082972,0.0082972
88,10195.2,0.41218,0.6085,0.23744,0.79241,0.72159,0.73601,0.41529,0.48958,0.54981,0.13984,0.0082774,0.0082774,0.0082774
89,10312.1,0.4364,0.61964,0.25431,0.77669,0.70415,0.75561,0.44573,0.43621,0.58767,0.13314,0.0082576,0.0082576,0.0082576
90,10428,0.38263,0.61747,0.23545,0.78401,0.80268,0.80267,0.48979,0.3865,0.55303,0.12628,0.0082378,0.0082378,0.0082378
91,10544.2,0.36834,0.59562,0.2361,0.76514,0.7461,0.77571,0.50316,0.39275,0.5395,0.12709,0.008218,0.008218,0.008218
92,10661.1,0.39056,0.60202,0.2311,0.77501,0.76103,0.76454,0.46853,0.42222,0.54791,0.13638,0.0081982,0.0081982,0.0081982
93,10778,0.39901,0.6074,0.24249,0.77435,0.71042,0.75152,0.4642,0.38979,0.58445,0.12466,0.0081784,0.0081784,0.0081784
94,10893.9,0.38208,0.60318,0.22582,0.76593,0.72056,0.73813,0.44747,0.41024,0.5742,0.13141,0.0081586,0.0081586,0.0081586
95,11009.5,0.3896,0.59447,0.23176,0.75007,0.70615,0.73825,0.39842,0.51371,0.56951,0.14752,0.0081388,0.0081388,0.0081388
96,11125.2,0.39123,0.61741,0.24274,0.85238,0.7302,0.80212,0.49719,0.37278,0.55462,0.12127,0.008119,0.008119,0.008119
97,11240.8,0.42693,0.61762,0.2364,0.79386,0.73916,0.79173,0.48118,0.41214,0.56939,0.13363,0.0080992,0.0080992,0.0080992
98,11356.1,0.41222,0.61719,0.24451,0.82508,0.72511,0.79116,0.50419,0.36052,0.56499,0.12122,0.0080794,0.0080794,0.0080794
99,11471.7,0.36685,0.60662,0.21519,0.80139,0.74568,0.80967,0.46165,0.43613,0.55809,0.13513,0.0080596,0.0080596,0.0080596
100,11587.3,0.37532,0.60301,0.22188,0.85861,0.73919,0.80569,0.50501,0.3958,0.5429,0.12399,0.0080398,0.0080398,0.0080398
101,11702.8,0.40466,0.61723,0.22447,0.87701,0.74607,0.80272,0.49284,0.40976,0.57273,0.12746,0.00802,0.00802,0.00802
102,11818.3,0.38304,0.60431,0.23139,0.7698,0.77952,0.7753,0.43632,0.4426,0.58214,0.14239,0.0080002,0.0080002,0.0080002
103,11933.5,0.41375,0.62142,0.23329,0.78805,0.67094,0.72184,0.40852,0.46859,0.6137,0.13699,0.0079804,0.0079804,0.0079804
104,12049.2,0.4406,0.61642,0.25224,0.79296,0.78457,0.81073,0.50271,0.39763,0.57527,0.13066,0.0079606,0.0079606,0.0079606
105,12164.9,0.35189,0.59981,0.21422,0.80419,0.77883,0.80498,0.46437,0.42866,0.57425,0.13605,0.0079408,0.0079408,0.0079408
106,12280.5,0.37864,0.58373,0.21657,0.75409,0.7459,0.77216,0.44722,0.45233,0.57786,0.13397,0.007921,0.007921,0.007921
107,12396,0.40152,0.59928,0.23073,0.78196,0.66616,0.77222,0.47283,0.41028,0.58979,0.12943,0.0079012,0.0079012,0.0079012
108,12511.4,0.39648,0.59944,0.22327,0.81868,0.66432,0.7604,0.48904,0.3802,0.59281,0.13306,0.0078814,0.0078814,0.0078814
109,12627,0.38728,0.57063,0.22385,0.83,0.77733,0.80366,0.46943,0.42885,0.56392,0.14025,0.0078616,0.0078616,0.0078616
110,12742.8,0.39394,0.59099,0.22617,0.76301,0.8036,0.80311,0.48623,0.40063,0.56403,0.1305,0.0078418,0.0078418,0.0078418
111,12858.2,0.38011,0.58625,0.21987,0.79247,0.68098,0.74202,0.45444,0.41804,0.57898,0.14095,0.007822,0.007822,0.007822
112,12973.5,0.34478,0.60391,0.21451,0.76275,0.7777,0.79013,0.47252,0.4107,0.55483,0.13505,0.0078022,0.0078022,0.0078022
113,13089.1,0.37965,0.59461,0.22356,0.8234,0.71852,0.80921,0.51088,0.36888,0.55902,0.12189,0.0077824,0.0077824,0.0077824
114,13205,0.39932,0.6114,0.22108,0.76747,0.70994,0.7512,0.41507,0.42667,0.56517,0.13045,0.0077626,0.0077626,0.0077626
115,13320.7,0.3605,0.56776,0.21366,0.73451,0.75685,0.76422,0.46505,0.39908,0.58073,0.13447,0.0077428,0.0077428,0.0077428
116,13435.6,0.37217,0.594,0.23828,0.80059,0.77338,0.79032,0.50234,0.37576,0.58279,0.12769,0.007723,0.007723,0.007723
117,13550.9,0.37136,0.58162,0.21537,0.75891,0.77195,0.77793,0.4252,0.47202,0.54951,0.13199,0.0077032,0.0077032,0.0077032
118,13666,0.36823,0.60128,0.2109,0.80535,0.72599,0.8187,0.51166,0.39805,0.55648,0.12381,0.0076834,0.0076834,0.0076834
119,13781.8,0.36898,0.57801,0.21997,0.78091,0.74443,0.79044,0.52171,0.36105,0.5591,0.11927,0.0076636,0.0076636,0.0076636
120,13897.4,0.36972,0.61767,0.22449,0.80391,0.70517,0.768,0.41219,0.50224,0.56098,0.15431,0.0076438,0.0076438,0.0076438
121,14013.2,0.38981,0.59433,0.2275,0.79844,0.74845,0.80155,0.49213,0.42897,0.53985,0.13465,0.007624,0.007624,0.007624
122,14128.9,0.33897,0.57554,0.20522,0.81634,0.72866,0.7874,0.39855,0.51643,0.55424,0.13841,0.0076042,0.0076042,0.0076042
123,14244.6,0.41887,0.56961,0.221,0.78469,0.74112,0.77276,0.46837,0.40867,0.55075,0.12605,0.0075844,0.0075844,0.0075844
124,14359.9,0.36822,0.5903,0.20766,0.80458,0.71285,0.74125,0.43127,0.46626,0.56394,0.13787,0.0075646,0.0075646,0.0075646
125,14475.7,0.37304,0.59833,0.21825,0.77428,0.7333,0.76148,0.48786,0.36988,0.56288,0.12626,0.0075448,0.0075448,0.0075448
126,14591.6,0.34788,0.58004,0.20142,0.77864,0.80693,0.81423,0.54089,0.34084,0.54271,0.11962,0.007525,0.007525,0.007525
127,14708.2,0.41178,0.56125,0.22585,0.82985,0.77299,0.81607,0.50381,0.38636,0.5421,0.123,0.0075052,0.0075052,0.0075052
128,14824.3,0.41376,0.59457,0.23255,0.82048,0.77124,0.80722,0.51026,0.40267,0.53746,0.12081,0.0074854,0.0074854,0.0074854
129,14940.7,0.35946,0.58686,0.215,0.80939,0.72928,0.78394,0.49622,0.39281,0.5449,0.13023,0.0074656,0.0074656,0.0074656
130,15056.5,0.34025,0.56534,0.21185,0.77356,0.7496,0.79129,0.48781,0.37168,0.55634,0.12574,0.0074458,0.0074458,0.0074458
131,15173.2,0.39228,0.60664,0.23087,0.79882,0.6888,0.74017,0.41404,0.41292,0.58707,0.13211,0.007426,0.007426,0.007426
132,15289.3,0.36937,0.61028,0.22035,0.75597,0.73783,0.78645,0.48452,0.38137,0.57146,0.11585,0.0074062,0.0074062,0.0074062
133,15405.1,0.33704,0.58414,0.20988,0.74829,0.79999,0.80068,0.52168,0.35295,0.54326,0.11772,0.0073864,0.0073864,0.0073864
134,15520.4,0.35254,0.57026,0.20962,0.82883,0.76159,0.82256,0.50838,0.38571,0.54102,0.12335,0.0073666,0.0073666,0.0073666
135,15636.2,0.38307,0.5678,0.22531,0.86253,0.72431,0.84261,0.55171,0.34526,0.5367,0.11834,0.0073468,0.0073468,0.0073468
136,15752,0.36248,0.57276,0.21455,0.7893,0.76686,0.82085,0.51593,0.36572,0.53575,0.11979,0.007327,0.007327,0.007327
137,15867.8,0.32284,0.56809,0.19983,0.78675,0.76234,0.82224,0.53632,0.36763,0.56219,0.12137,0.0073072,0.0073072,0.0073072
138,15983.4,0.34138,0.54284,0.20507,0.80145,0.76635,0.80809,0.47585,0.41595,0.5614,0.13134,0.0072874,0.0072874,0.0072874
139,16099.3,0.38483,0.5785,0.21602,0.84173,0.75169,0.79867,0.50081,0.36742,0.54584,0.12001,0.0072676,0.0072676,0.0072676
140,16215,0.40881,0.5707,0.2201,0.78345,0.76829,0.78746,0.47427,0.4347,0.52934,0.13305,0.0072478,0.0072478,0.0072478
141,16330.6,0.38222,0.55843,0.21909,0.78379,0.77418,0.77887,0.45837,0.42057,0.57425,0.13129,0.007228,0.007228,0.007228
142,16446.2,0.35755,0.57374,0.20587,0.8188,0.78162,0.80606,0.5043,0.362,0.54758,0.11544,0.0072082,0.0072082,0.0072082
143,16561.7,0.33905,0.55628,0.21047,0.79933,0.7771,0.80204,0.51768,0.36938,0.5383,0.11499,0.0071884,0.0071884,0.0071884
