fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.30078,0.00862,0.01348,0.8896,0.00067,4.02204,0.61251,6.36462,0.63208,1.83615,0.0136,0.81512,0.31307,9.56676,0.09975,0.62835,5.91646,0.00071,0.40852,0.50496,0.08203,0.73084,0.08225,0.09977
0.33936,0.00783,0.01523,0.93284,0.00068,4.15474,0.59842,6.13428,0.59083,1.8676,0.01598,0.67061,0.29537,9.56676,0.09974,0.60499,9.96901,0.00071,0.50326,0.50721,0.07972,0.93355,0.07691,0.10317
0.31121,0.00738,0.01315,0.80343,0.00055,4.15474,0.54201,5.0045,0.59083,2.24859,0.01558,0.68246,0.28959,11.39319,0.08617,0.56486,10.0,0.00071,0.38755,0.56858,0.09458,0.93355,0.07691,0.10317
0.28581,0.00785,0.01749,0.86456,0.00071,4.35499,0.8224,5.4574,0.57321,2.02307,0.02172,0.58474,0.38347,7.73591,0.10574,0.55247,8.37665,0.00081,0.74097,0.44978,0.08326,0.97597,0.0886,0.0858
0.32481,0.00738,0.01507,0.93451,0.00065,3.9318,0.80284,5.48279,0.56614,2.00838,0.01471,0.56544,0.38061,9.91529,0.1,0.62074,9.73792,0.00077,0.56048,0.46823,0.09434,0.97597,0.08102,0.09812
0.21185,0.00884,0.0147,0.96306,0.00044,2.48129,0.8641,5.56846,0.61299,2.02307,0.01513,0.58474,0.4837,8.76429,0.09413,0.46939,6.50102,0.00087,0.71087,0.47364,0.08343,0.73784,0.09402,0.08575
0.33667,0.00782,0.01523,0.93169,0.00068,4.15644,0.5986,6.12927,0.59083,1.868,0.01598,0.67038,0.29537,9.57777,0.09974,0.60522,9.96897,0.00071,0.50336,0.50644,0.07977,0.93239,0.07688,0.10314
0.3216,0.00773,0.01515,0.94652,0.00056,3.97379,0.57265,6.08517,0.61278,1.42645,0.01715,0.76492,0.29537,9.4175,0.10474,0.55833,9.96897,0.00069,0.51013,0.50644,0.08276,0.89987,0.08243,0.09336
0.35578,0.00656,0.01523,0.93169,0.00053,3.98663,0.61778,6.12927,0.45737,1.868,0.01598,0.69897,0.35217,10.45913,0.11742,0.51565,9.46026,0.00079,0.49791,0.49218,0.07334,1.0,0.07688,0.09181
0.31065,0.00783,0.01523,0.98,0.00068,4.15474,0.63388,7.09421,0.59083,2.16199,0.01796,0.58153,0.2904,12.56045,0.13435,0.5192,10.0,0.00071,0.54637,0.38032,0.07497,0.92881,0.08374,0.08677
0.24383,0.00851,0.0147,0.73108,0.00065,4.73203,0.5986,7.4083,0.79239,1.83118,0.01421,0.72017,0.32779,7.61191,0.08864,0.67436,9.71696,0.00071,0.39626,0.50644,0.07029,0.93686,0.09385,0.10314
0.34861,0.00655,0.01531,0.93169,0.00054,3.98663,0.60599,6.04021,0.45737,1.80333,0.01578,0.69927,0.35217,10.35514,0.11806,0.51565,9.46026,0.00079,0.50015,0.48405,0.07515,1.0,0.07367,0.09406
0.31977,0.00655,0.01522,0.93169,0.00049,4.09289,0.6214,5.43609,0.46216,1.87176,0.01578,0.67787,0.3688,10.10715,0.11806,0.56283,9.46026,0.00083,0.53677,0.46874,0.0781,1.0,0.0742,0.09973
0.29027,0.00653,0.01537,0.935,0.00054,4.01342,0.60868,6.06304,0.45824,1.8,0.01573,0.69697,0.35277,10.37971,0.11795,0.51843,9.46026,0.00079,0.5008,0.48397,0.07508,1.0,0.07367,0.09464
0.32732,0.00656,0.01403,0.9352,0.00051,3.98663,0.61778,6.12927,0.43245,1.86249,0.01598,0.77518,0.35398,10.45913,0.10117,0.51565,8.26492,0.00079,0.46658,0.49218,0.08204,1.0,0.07827,0.09181
