epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1372.13,0.27804,0.53494,0.17336,0.81719,0.78044,0.81959,0.56309,0.32855,0.57296,0.10894,0.000183764,0.000183764,0.000183764
43,1404.74,0.27106,0.52682,0.18659,0.77668,0.77546,0.79348,0.55612,0.34046,0.60135,0.11254,0.000183368,0.000183368,0.000183368
44,1437.36,0.26023,0.52374,0.17929,0.82272,0.80664,0.83596,0.56919,0.33117,0.49209,0.11217,0.000182972,0.000182972,0.000182972
45,1469.98,0.27026,0.49971,0.18185,0.84759,0.77109,0.83308,0.57889,0.32902,0.5196,0.10438,0.000182576,0.000182576,0.000182576
46,1502.57,0.26259,0.52384,0.17703,0.78015,0.81818,0.81318,0.56602,0.33206,0.60753,0.10757,0.00018218,0.00018218,0.00018218
47,1535.2,0.25595,0.51574,0.16574,0.75723,0.77966,0.81685,0.57169,0.32285,0.51245,0.10321,0.000181784,0.000181784,0.000181784
48,1567.83,0.2592,0.50386,0.17862,0.81683,0.78557,0.84236,0.584,0.32946,0.50743,0.10839,0.000181388,0.000181388,0.000181388
49,1600.49,0.27139,0.51903,0.17373,0.81415,0.79429,0.83869,0.60155,0.32559,0.51325,0.10144,0.000180992,0.000180992,0.000180992
50,1633.3,0.2511,0.49564,0.16507,0.79029,0.82954,0.83947,0.58749,0.32818,0.51339,0.10547,0.000180596,0.000180596,0.000180596
51,1665.95,0.26066,0.51155,0.16796,0.85451,0.83617,0.857,0.59763,0.32655,0.477,0.10479,0.0001802,0.0001802,0.0001802
52,1698.56,0.2635,0.46619,0.16917,0.81805,0.82566,0.82633,0.57828,0.32885,0.5241,0.10776,0.000179804,0.000179804,0.000179804
53,1731.19,0.25992,0.47836,0.16853,0.77388,0.81667,0.82697,0.56148,0.33225,0.50508,0.10849,0.000179408,0.000179408,0.000179408
54,1763.83,0.25368,0.4876,0.1724,0.82793,0.83361,0.83487,0.5877,0.33229,0.53903,0.1045,0.000179012,0.000179012,0.000179012
55,1796.42,0.25724,0.48061,0.16099,0.82905,0.81227,0.84375,0.58047,0.32157,0.52221,0.1005,0.000178616,0.000178616,0.000178616
56,1829.06,0.24587,0.45593,0.15902,0.81758,0.81044,0.83821,0.58406,0.31927,0.50526,0.10154,0.00017822,0.00017822,0.00017822
57,1861.7,0.25708,0.46887,0.17581,0.83247,0.85225,0.85518,0.60311,0.32861,0.49536,0.10795,0.000177824,0.000177824,0.000177824
58,1894.46,0.24177,0.45018,0.16479,0.82743,0.80933,0.83931,0.58018,0.32154,0.50338,0.10846,0.000177428,0.000177428,0.000177428
59,1927.11,0.24822,0.45281,0.16286,0.83362,0.82793,0.84838,0.58474,0.33758,0.51347,0.11195,0.000177032,0.000177032,0.000177032
60,1959.72,0.25593,0.46544,0.17438,0.80145,0.84025,0.84453,0.59004,0.32234,0.5009,0.10566,0.000176636,0.000176636,0.000176636
61,1992.24,0.24785,0.45082,0.16837,0.83912,0.80701,0.8411,0.57865,0.3242,0.51311,0.10724,0.00017624,0.00017624,0.00017624
62,2024.82,0.24647,0.45485,0.16952,0.83065,0.82833,0.85279,0.57521,0.32387,0.51973,0.10784,0.000175844,0.000175844,0.000175844
63,2057.37,0.24931,0.43644,0.16037,0.83742,0.83234,0.86144,0.5948,0.31955,0.47783,0.10551,0.000175448,0.000175448,0.000175448
64,2090.01,0.23898,0.47144,0.1568,0.83736,0.80557,0.83139,0.58802,0.32137,0.47386,0.10461,0.000175052,0.000175052,0.000175052
65,2122.65,0.24521,0.49267,0.15639,0.8013,0.84462,0.83917,0.58586,0.32508,0.51735,0.1052,0.000174656,0.000174656,0.000174656
66,2155.29,0.25258,0.45416,0.16667,0.85722,0.82522,0.83967,0.56867,0.34073,0.53304,0.11135,0.00017426,0.00017426,0.00017426
67,2187.85,0.25373,0.46771,0.1682,0.8606,0.82584,0.85664,0.59466,0.3175,0.50771,0.10411,0.000173864,0.000173864,0.000173864
68,2220.43,0.25152,0.45554,0.15417,0.74263,0.79913,0.79272,0.55733,0.32644,0.56691,0.10798,0.000173468,0.000173468,0.000173468
69,2253,0.23357,0.44244,0.15599,0.82877,0.86396,0.85455,0.58267,0.31514,0.5144,0.10464,0.000173072,0.000173072,0.000173072
70,2285.54,0.25015,0.47543,0.15291,0.84255,0.8042,0.8376,0.59727,0.31429,0.50669,0.1033,0.000172676,0.000172676,0.000172676
71,2318.14,0.24119,0.48986,0.16094,0.82073,0.82018,0.83435,0.57556,0.31882,0.48992,0.10556,0.00017228,0.00017228,0.00017228
72,2350.71,0.23083,0.45755,0.15113,0.88124,0.85118,0.87359,0.58353,0.3195,0.46059,0.10883,0.000171884,0.000171884,0.000171884
73,2383.3,0.2403,0.44432,0.15654,0.82528,0.84553,0.86108,0.59789,0.32339,0.47881,0.10701,0.000171488,0.000171488,0.000171488
