epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,114.734,1.58904,0.71491,1.70181,0.00114,0.09471,0.00081,0.00013,1.81773,0.32664,1.16495,0.0668204,6.64921e-05,6.64921e-05
2,229.667,1.29486,0.78412,1.17738,0.00801,0.66295,0.02485,0.00697,1.21964,0.8301,0.58975,0.0335535,0.000132895,0.000132895
3,345.564,1.19723,0.91519,1.06624,0.00737,0.61003,0.03578,0.01097,1.32112,0.81517,0.84291,0.000286294,0.000199034,0.000199034
4,461.453,1.06868,1.0581,0.9435,0.00739,0.61003,0.04504,0.01934,1.28665,0.85174,0.95478,0.000198812,0.000198812,0.000198812
5,577.176,1.05129,1.01103,0.89547,0.02919,0.59331,0.03633,0.0157,0.946,0.97855,0.60603,0.000198416,0.000198416,0.000198416
6,693.185,0.91026,1.07071,0.73718,0.03764,0.26741,0.0335,0.01265,0.79862,1.01625,0.30482,0.00019802,0.00019802,0.00019802
7,809.097,0.83226,1.122,0.70963,0.04323,0.38162,0.04033,0.01651,0.69077,1.09065,0.24531,0.000197624,0.000197624,0.000197624
8,924.674,0.76574,1.17977,0.60155,0.04737,0.33983,0.05723,0.02589,0.61023,1.20245,0.22491,0.000197228,0.000197228,0.000197228
9,1040.76,0.70772,1.23995,0.58345,0.10587,0.31476,0.08235,0.04121,0.65551,1.09944,0.28132,0.000196832,0.000196832,0.000196832
10,1156.58,0.66136,1.32661,0.55222,0.07143,0.34262,0.0604,0.03202,0.5957,1.19109,0.22597,0.000196436,0.000196436,0.000196436
11,1272.45,0.60834,1.31712,0.48929,0.06413,0.36212,0.07255,0.04166,0.48814,1.2633,0.17712,0.00019604,0.00019604,0.00019604
12,1388.14,0.54644,1.37531,0.43803,0.05248,0.29526,0.05854,0.03657,0.48259,1.27541,0.18347,0.000195644,0.000195644,0.000195644
13,1503.71,0.5381,1.43744,0.42528,0.05817,0.36769,0.05942,0.03559,0.49396,1.26582,0.17851,0.000195248,0.000195248,0.000195248
14,1619.52,0.52802,1.4582,0.41719,0.05766,0.46518,0.07617,0.04779,0.40609,1.42216,0.1534,0.000194852,0.000194852,0.000194852
15,1735.47,0.49881,1.46457,0.39527,0.0593,0.42897,0.06409,0.0396,0.44379,1.37008,0.16416,0.000194456,0.000194456,0.000194456
16,1851.52,0.4963,1.49175,0.4187,0.07131,0.37326,0.06732,0.04238,0.4107,1.41593,0.15852,0.00019406,0.00019406,0.00019406
17,1967.53,0.47445,1.49962,0.38456,0.06723,0.30919,0.05428,0.03539,0.48803,1.31558,0.24162,0.000193664,0.000193664,0.000193664
18,2083.42,0.44603,1.53546,0.36025,0.07643,0.3454,0.07187,0.04391,0.4127,1.32905,0.13941,0.000193268,0.000193268,0.000193268
19,2199.17,0.46164,1.50164,0.36596,0.07873,0.41504,0.07019,0.04687,0.39634,1.33232,0.15481,0.000192872,0.000192872,0.000192872
20,2315.03,0.44774,1.5489,0.33798,0.06838,0.39833,0.07079,0.04572,0.39053,1.30867,0.13741,0.000192476,0.000192476,0.000192476
21,2430.98,0.41076,1.56236,0.30328,0.07023,0.41504,0.06911,0.04865,0.36703,1.30493,0.1482,0.00019208,0.00019208,0.00019208
22,2547.12,0.42527,1.55667,0.31418,0.08413,0.3844,0.07408,0.04994,0.36963,1.31235,0.14169,0.000191684,0.000191684,0.000191684
