fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.71996,0.00587,0.01168,0.74186,0.0006,2.36344,0.78745,7.04969,0.44793,1.50543,0.01386,0.59589,0.42935,0.0,0.12788,0.75062,0.0,0.0,0.0,0.38661,0.0,1.0,0.0,0.0
0.71301,0.00586,0.01056,0.79819,0.0006,2.36344,0.77556,6.93898,0.46052,1.60148,0.01386,0.71517,0.43776,0.0,0.14269,0.67381,0.0,0.0,0.0,0.41929,0.0,0.9877,0.0,0.0
0.7211,0.00663,0.01127,0.76936,0.0006,2.54551,0.77382,5.71424,0.42929,1.5525,0.0185,0.48717,0.30988,0.0,0.114,0.65388,0.0,0.0,0.0,0.39197,0.0,0.96766,0.0,0.0
0.70404,0.00667,0.01122,0.6,0.00066,2.68958,0.8473,6.01674,0.42925,1.54386,0.01381,0.45418,0.37984,0.0,0.13084,0.74503,0.0,0.0,0.0,0.46179,0.0,0.99998,0.0,0.0
0.71759,0.00657,0.01124,0.68801,0.00055,2.66061,0.77382,5.96036,0.42929,1.5525,0.01732,0.49208,0.29846,0.0,0.11612,0.74414,0.0,0.0,0.0,0.37737,0.0,0.95905,0.0,0.0
0.72357,0.00718,0.01181,0.78708,0.00062,2.46795,0.79633,6.74998,0.4368,1.54634,0.0186,0.47288,0.31562,0.0,0.12302,0.65388,0.0,0.0,0.0,0.41292,0.0,1.0,0.0,0.0
0.71552,0.00977,0.01181,0.67032,0.00066,2.62124,0.726,7.0765,0.42929,1.50543,0.01537,0.47186,0.36824,0.0,0.15807,0.95,0.0,0.0,0.0,0.27035,0.0,0.94624,0.0,0.0
0.69962,0.00608,0.01127,0.90343,0.00053,2.75004,0.77382,6.50971,0.39881,1.59674,0.01756,0.48717,0.29804,0.0,0.114,0.64144,0.0,0.0,0.0,0.39197,0.0,0.96766,0.0,0.0
0.72634,0.00629,0.00987,0.78729,0.0007,3.22131,0.74356,8.24875,0.56787,1.46108,0.01738,0.53457,0.28088,0.0,0.12148,0.73271,0.0,0.0,0.0,0.41017,0.0,1.0,0.0,0.0
0.69798,0.0076,0.01167,0.86114,0.00062,2.46795,0.80967,6.81499,0.4368,1.42916,0.01904,0.47741,0.31341,0.0,0.10828,0.65388,0.0,0.0,0.0,0.40408,0.0,0.98835,0.0,0.0
0.71959,0.00629,0.0102,0.73314,0.00093,3.57828,0.73909,8.24875,0.54482,1.46108,0.0224,0.76224,0.18804,0.0,0.14263,0.60869,0.0,0.0,0.0,0.29579,0.0,0.72789,0.0,0.0
